time,pcb,xiapmi
1833,18.085179,-11.32163143
1837,15.567419,-16.2555809
1842,10.604668,-16.12636948
1847,2.338266,-11.22347736
1852,-8.984375,-2.45138216
1857,-15.970067,5.796816349
1862,-15.421884,12.54692364
1867,-11.81261,17.90198898
1871,-5.117989,14.3653326
1876,3.526804,8.732626915
1881,11.143148,-1.652214646
1886,17.910536,-11.38379765
1891,15.562568,-16.20534515
1896,8.814584,-16.10005951
1900,2.265499,-11.17322636
1905,-8.746668,-2.441826344
1910,-15.824531,5.906730175
1915,-15.509205,12.56595516
1920,-11.744694,17.9401989
1925,-3.769363,14.31986809
1929,3.30365,8.718218803
1934,10.687138,-1.733628869
1939,17.003367,-11.39325619
1944,15.873043,-16.3392086
1949,10.124401,-16.03053856
1954,0.111577,-11.15875912
1958,-8.489555,-2.286169529
1963,-15.11626,5.85421133
1968,-15.664443,12.70964909
1973,-11.958145,17.87336159
1978,-4.181712,14.33916569
1983,4.506741,8.632287025
1987,10.561007,-1.838705659
1992,17.22167,-11.42440605
1997,15.543163,-16.31533623
2002,10.391216,-16.06422806
2007,0.882914,-11.07999039
2012,-10.342704,-2.243289471
2016,-14.902808,5.899487019
2021,-15.606229,12.71424484
2026,-12.258918,17.89948845
2031,-4.734746,14.26957321
2036,4.002219,8.569881439
2041,10.624072,-1.860431314
2045,16.004025,-11.5083046
2050,15.586824,-16.31308365
2055,10.997613,-16.02594376
2060,0.756783,-11.01538467
2065,-10.032229,-2.259816647
2070,-16.188369,6.014550686
2074,-15.926406,12.71205997
2079,-12.443263,17.93558693
2084,-5.074329,14.20757389
2089,3.497697,8.5365839
2094,10.478537,-1.956161141
2099,18.778897,-11.55853462
2104,15.062897,-16.33933067
2108,10.585263,-16.01151085
2113,1.392287,-10.96266842
2118,-9.833331,-2.140326023
2123,-14.388584,6.02885294
2128,-15.431586,12.81011772
2133,-11.497284,17.89958
2137,-5.248971,14.18826294
2142,3.162966,8.471801758
2147,10.240829,-2.030288219
2152,18.002709,-11.61102486
2157,15.145367,-16.3894825
2162,9.178422,-15.95878792
2166,1.401989,-10.94342232
2171,-9.202678,-2.078019619
2176,-14.684505,6.122190952
2181,-14.936766,12.81490898
2186,-11.201362,17.88523483
2191,-4.016773,14.14046764
2195,3.968261,8.438380241
2200,10.20202,-2.135502338
2205,17.444824,-11.64937305
2210,15.65474,-16.34169388
2215,9.736307,-15.95395184
2220,0.37354,-10.86680889
2224,-8.42649,-2.054049015
2229,-15.169623,6.134198666
2234,-14.699059,12.85802937
2239,-11.007315,17.94756889
2244,-3.463739,14.08775902
2249,4.472783,8.364085197
2253,10.755054,-2.171512127
2258,17.187711,-11.70451736
2263,15.125962,-16.42076302
2268,10.061336,-15.90631485
2273,0.892616,-10.84048462
2278,-9.809075,-1.939178109
2282,-15.208432,6.155731678
2287,-14.946469,12.93939209
2292,-11.269278,17.89013863
2297,-3.725702,14.11167145
2302,4.147754,8.313850403
2307,11.686479,-2.269368649
2312,18.909878,-11.790411
2316,15.436437,-16.39180565
2321,10.541602,-15.90845299
2326,1.566929,-10.76868248
2331,-9.33366,-1.905660272
2336,-15.557717,6.229920864
2341,-15.339414,12.95114613
2345,-11.865973,17.89472008
2350,-3.706297,14.03987598
2355,4.157457,8.256428719
2360,11.5652,-2.348566532
2365,18.318035,-11.79540634
2370,14.810636,-16.43262863
2374,11.128594,-15.90142536
2379,2.037493,-10.7113924
2384,-9.323957,-1.876956582
2389,-16.033132,6.34717989
2394,-15.402479,12.94897079
2399,-12.127936,17.94996452
2403,-4.176861,13.97069931
2408,3.255138,8.249462128
2413,11.414814,-2.446444988
2418,18.119137,-11.84326077
2423,15.125962,-16.44698524
2428,8.149973,-15.8846693
2432,2.47895,-10.67310619
2437,-8.887352,-1.800516725
2442,-16.222328,6.308766842
2447,-15.11626,13.06129932
2452,-12.026062,17.91394615
2457,-3.327906,13.98972034
2461,3.34731,8.148838997
2466,11.60401,-2.492044926
2471,17.997858,-11.94128132
2476,14.665101,-16.4015007
2481,8.969822,-15.8486948
2486,0.145535,-10.67781162
2490,-8.251848,-1.680713296
2495,-16.013727,6.385494709
2500,-15.659591,13.07581711
2505,-11.691331,17.86385918
2510,-2.692402,13.95399094
2515,4.705639,8.09372139
2519,10.386365,-2.554307461
2524,17.774704,-11.95092964
2529,14.994981,-16.43507576
2534,9.144464,-15.8631916
2539,0.286219,-10.567873
2544,-10.347555,-1.716813684
2549,-15.727508,6.45964098
2553,-15.043492,13.05660725
2558,-12.622756,17.96906853
2563,-3.885791,13.87734699
2568,4.414569,8.065167427
2573,11.953294,-2.642702579
2578,19.584192,-12.00821209
2582,15.669294,-16.50201607
2587,10.090443,-15.79366207
2592,0.383243,-10.52226925
2597,-10.279639,-1.637732148
2602,-15.256944,6.445230007
2607,-14.854296,13.18341923
2611,-12.045466,17.87813759
2616,-4.21082,13.91311264
2621,4.302992,8.015004158
2626,11.652521,-2.731165409
2631,18.735236,-12.06316662
2636,15.150218,-16.45878029
2640,10.187467,-15.79836559
2645,0.829551,-10.57244396
2650,-9.600474,-1.496454835
2655,-15.722657,6.490756512
2660,-15.334563,13.2600584
2665,-11.861122,17.82556534
2669,-4.657128,13.87262249
2674,3.977963,7.926455975
2679,10.890887,-2.752712727
2684,18.269523,-12.10146809
2689,14.635994,-16.49958992
2694,8.319764,-15.7913084
2698,0.504522,-10.41224957
2703,-9.716903,-1.558809876
2708,-15.780871,6.581571102
2713,-14.961022,13.20969868
2718,-11.579754,17.91637993
2723,-3.934303,13.81264973
2727,3.914898,7.88797617
2732,10.978208,-2.848617077
2737,17.92509,-12.12796116
2742,14.888255,-16.51394463
2747,8.950417,-15.75541687
2752,-0.489969,-10.40985107
2756,-9.29485,-1.419869065
2761,-15.431586,6.538657665
2766,-14.878552,13.32230282
2771,-10.876333,17.86867523
2776,-3.13871,13.81044674
2781,4.982156,7.809241772
2786,12.525733,-2.89864397
2790,17.866876,-12.20214272
2795,14.917362,-16.51394844
2800,9.493749,-15.72185802
2805,0.024256,-10.40017128
2810,-10.755054,-1.295480371
2815,-15.945811,6.624762058
2819,-15.096855,13.3676405
2824,-10.886036,17.8158989
2829,-3.536506,13.76723766
2834,4.618318,7.746898174
2839,11.230469,-2.968159199
2844,18.977795,-12.21402454
2848,15.36367,-16.54982376
2853,10.07589,-15.75528812
2858,-0.257112,-10.29247379
2863,-10.61437,-1.278710008
2868,-15.81968,6.682212353
2873,-15.397628,13.37253475
2877,-11.114041,17.86386871
2882,-3.851833,13.75060177
2887,4.201117,7.682199955
2892,11.429367,-3.056783199
2897,18.415059,-12.23566246
2902,14.70391,-16.60495567
2906,10.206871,-15.66217613
2911,0.844104,-10.24243736
2916,-9.25119,-1.228673577
2921,-16.227179,6.629358768
2926,-14.883403,13.49436378
2931,-12.171597,17.80144691
2935,-4.851175,13.70493507
2940,4.530997,7.655878544
2945,10.958803,-3.164420605
2950,18.264672,-12.31697845
2955,14.970725,-16.54747581
2960,7.543576,-15.66199875
2964,0.713123,-10.23503971
2969,-9.280297,-1.132705331
2974,-16.188369,6.739646435
2979,-15.028939,13.47545528
2984,-11.511837,17.80406952
2989,-3.041686,13.68840694
2993,3.895493,7.531452656
2998,10.289341,-3.169246197
3003,18.245267,-12.3887558
3008,14.243048,-16.54502106
3013,8.38283,-15.64771366
3018,-0.388094,-10.17533207
3022,-9.275446,-1.104149461
3027,-15.766317,6.830451488
3032,-14.674803,13.47540569
3037,-11.798056,17.8733387
3042,-3.682041,13.63098431
3047,4.856026,7.491015911
3052,12.632459,-3.271908283
3056,17.3478,-12.38616657
3061,14.907659,-16.59753036
3066,8.945566,-15.63801289
3071,0,-10.07949543
3076,-10.522198,-1.063513398
3081,-15.970067,6.825631618
3085,-15.024088,13.59970951
3090,-11.676777,17.81347084
3095,-2.711807,13.62123966
3100,5.467274,7.416650295
3105,11.676777,-3.34625864
3110,19.176693,-12.45813656
3114,14.888255,-16.59287071
3119,8.770924,-15.58541679
3124,0.751932,-10.07469845
3129,-10.400918,-0.9628206491
3134,-16.489142,6.890420437
3139,-16.013727,13.6238184
3143,-11.254725,17.7801609
3148,-3.51225,13.55921268
3153,4.705639,7.392704487
3158,11.885378,-3.427638531
3163,19.268865,-12.51079941
3168,15.164772,-16.58576393
3172,9.522856,-15.59513474
3177,1.013895,-10.01986313
3182,-10.216574,-0.9223591089
3187,-15.877894,6.945356846
3192,-15.722657,13.6572094
3197,-12.491774,17.83747673
3201,-3.929451,13.52082634
3206,4.613467,7.328199863
3211,11.768949,-3.525636196
3216,19.094223,-12.49873543
3221,14.742719,-16.65745735
3226,7.543576,-15.53282356
3230,1.261305,-9.96939373
3235,-9.983717,-0.8431526423
3240,-16.333905,6.926324368
3245,-15.577121,13.73868656
3250,-12.714928,17.77298927
3255,-2.309159,13.54009342
3259,4.191415,7.234994411
3264,11.390558,-3.571172237
3269,18.449017,-12.58254051
3274,14.665101,-16.63113594
3279,7.936522,-15.51608562
3284,-1.261305,-9.940798759
3289,-11.599158,-0.7715021372
3293,-16.144709,6.978848934
3298,-15.368521,13.7840395
3303,-11.376004,17.75606728
3308,-2.862193,13.47789097
3313,5.598255,7.213487148
3318,11.827164,-3.64036417
3322,18.395654,-12.63976955
3327,14.441947,-16.62859917
3332,8.572025,-15.49919033
3337,-1.397138,-9.876051903
3342,-11.177106,-0.7763248682
3347,-16.028281,7.076916218
3351,-14.859148,13.80076218
3356,-11.865973,17.78959465
3361,-3.065942,13.41311264
3366,5.496381,7.143917561
3371,11.608861,-3.72188139
3376,18.633361,-12.63508606
3380,14.820338,-16.67178154
3385,9.236636,-15.48486805
3390,-1.251603,-9.787506104
3395,-10.541602,-0.6780239344
3400,-15.514056,7.038818836
3405,-15.436437,13.8775177
3409,-12.263769,17.77781868
3414,-2.905854,13.40612793
3419,5.234417,7.105820179
3424,11.080083,-3.829375744
3429,19.390145,-12.69239807
3434,14.12662,-16.67643547
3438,9.488897,-15.44418716
3443,-0.150386,-9.799518585
3448,-11.065529,-0.5583759546
3453,-15.873043,7.103374004
3458,-15.261795,13.92292309
3463,-12.462667,17.70357895
3467,-4.288438,13.38932323
3472,4.962752,7.045955181
3477,10.900589,-3.898823261
3482,19.133032,-12.76901722
3487,14.029597,-16.64299393
3492,7.863754,-15.40350723
3497,-2.047196,-9.749219894
3501,-10.454281,-0.5655494928
3506,-15.383074,7.215894222
3511,-14.994981,13.93972492
3516,-11.909634,17.72517204
